name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"washington, dc",2024-02-21,48.7,30.3,39.1,48.1,24.4,35.4,27,63.6,0,0,0,,0,0,15.2,9.9,78.9,1028.4,35.2,9.9,167.6,14.3,6,10,2024-02-21T06:52:17,2024-02-21T17:51:54,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-02-22,51.4,32.7,41.8,51.4,28.4,38.5,34.1,74.8,0,0,0,,0,0,24.2,13.6,134.9,1014,80.3,9.9,51,4.4,2,10,2024-02-22T06:50:56,2024-02-22T17:53:00,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-02-23,51,41.1,46.4,51,37.5,44.6,40.1,78.9,0.013,100,12.5,rain,0,0,16.3,9.7,339.1,1000,89.5,9.4,40.7,3.4,2,10,2024-02-23T06:49:35,2024-02-23T17:54:05,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-02-24,52.9,34.7,45.6,52.9,28.2,41.5,33.4,64.3,0.014,100,8.33,rain,0,0,24,17.7,326.7,1006.9,82.7,9.7,107.6,9.3,5,10,2024-02-24T06:48:13,2024-02-24T17:55:10,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-02-25,46.1,28.8,37.2,41.4,21.2,32,20.3,51.2,0,0,0,,0,0,16.3,13.2,173,1020.3,27.9,9.9,162,13.9,6,10,2024-02-25T06:46:50,2024-02-25T17:56:15,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-02-26,66,38.6,50.2,66,31.5,48.1,33.7,55.1,0,0,0,,0,0,15.7,11,173.8,1016.4,65.3,9.9,146.4,12.6,7,10,2024-02-26T06:45:26,2024-02-26T17:57:19,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-02-27,61.4,44,53.1,61.4,44,53,44.1,73,0.013,100,8.33,rain,0,0,39.6,15.9,183.8,1012.5,86.3,9.5,63.4,5.5,5,10,2024-02-27T06:44:02,2024-02-27T17:58:24,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-02-28,65.1,44.9,58.5,65.1,37.5,57.9,49.5,73.4,0.284,100,45.83,rain,0,0,46.1,23.6,211.2,1006.3,95.7,9.5,18,1.6,1,10,2024-02-28T06:42:36,2024-02-28T17:59:27,0.64,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-02-29,49.8,33.1,41.1,45.7,23.3,34.3,13,32.7,0,0,0,,0,0,34.6,19.7,302.4,1027.7,18.3,9.9,173,14.7,7,10,2024-02-29T06:41:10,2024-02-29T18:00:31,0.67,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
"washington, dc",2024-03-01,53,32.5,43.4,53,29.3,40.9,24.7,49.6,0.03,100,8.33,rain,0,0,22.1,15.6,137.4,1033.9,57.8,9.9,148.8,12.9,7,10,2024-03-01T06:39:43,2024-03-01T18:01:34,0.71,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
